device_id,temperature,humidity,aqi,timestamp
ESP32_NODE_01,22.92,54.16,57,2026-05-27 00:00:00
ESP32_NODE_01,22.86,56.06,54,2026-05-27 00:10:00
ESP32_NODE_01,22.31,55.15,55,2026-05-27 00:20:00
ESP32_NODE_01,21.67,55.13,57,2026-05-27 00:30:00
ESP32_NODE_01,21.75,56.67,53,2026-05-27 00:40:00
ESP32_NODE_01,22.31,58.35,51,2026-05-27 00:50:00
ESP32_NODE_01,22.35,58.32,49,2026-05-27 01:00:00
ESP32_NODE_01,22.1,59.39,54,2026-05-27 01:10:00
ESP32_NODE_01,21.61,61.84,56,2026-05-27 01:20:00
ESP32_NODE_01,21.86,62.48,58,2026-05-27 01:30:00
ESP32_NODE_01,21.61,60.76,56,2026-05-27 01:40:00
ESP32_NODE_01,20.78,60.14,55,2026-05-27 01:50:00
ESP32_NODE_01,21.37,60.07,53,2026-05-27 02:00:00
ESP32_NODE_01,20.87,62.37,56,2026-05-27 02:10:00
ESP32_NODE_01,20.7,63.5,56,2026-05-27 02:20:00
ESP32_NODE_01,21.64,64.0,59,2026-05-27 02:30:00
ESP32_NODE_01,21.44,64.99,54,2026-05-27 02:40:00
ESP32_NODE_01,20.79,63.88,60,2026-05-27 02:50:00
ESP32_NODE_01,21.46,63.04,59,2026-05-27 03:00:00
ESP32_NODE_01,21.51,62.9,57,2026-05-27 03:10:00
ESP32_NODE_01,21.1,62.04,62,2026-05-27 03:20:00
ESP32_NODE_01,20.94,61.16,61,2026-05-27 03:30:00
ESP32_NODE_01,20.61,59.76,62,2026-05-27 03:40:00
ESP32_NODE_01,21.5,59.97,60,2026-05-27 03:50:00
ESP32_NODE_01,21.81,60.53,64,2026-05-27 04:00:00
ESP32_NODE_01,20.7,61.91,63,2026-05-27 04:10:00
ESP32_NODE_01,21.09,62.72,62,2026-05-27 04:20:00
ESP32_NODE_01,21.41,64.62,59,2026-05-27 04:30:00
ESP32_NODE_01,21.57,63.11,63,2026-05-27 04:40:00
ESP32_NODE_01,21.45,63.68,59,2026-05-27 04:50:00
ESP32_NODE_01,22.13,63.69,59,2026-05-27 05:00:00
ESP32_NODE_01,21.35,62.93,124,2026-05-27 05:10:00
ESP32_NODE_01,21.87,61.16,173,2026-05-27 05:20:00
ESP32_NODE_01,21.75,61.38,180,2026-05-27 05:30:00
ESP32_NODE_01,22.73,60.02,197,2026-05-27 05:40:00
ESP32_NODE_01,22.31,61.89,205,2026-05-27 05:50:00
ESP32_NODE_01,22.82,62.85,204,2026-05-27 06:00:00
ESP32_NODE_01,23.55,63.25,168,2026-05-27 06:10:00
ESP32_NODE_01,22.7,62.0,142,2026-05-27 06:20:00
ESP32_NODE_01,23.04,60.88,123,2026-05-27 06:30:00
ESP32_NODE_01,23.25,62.64,103,2026-05-27 06:40:00
ESP32_NODE_01,23.48,63.16,88,2026-05-27 06:50:00
ESP32_NODE_01,24.54,63.08,84,2026-05-27 07:00:00
ESP32_NODE_01,24.61,61.49,77,2026-05-27 07:10:00
ESP32_NODE_01,24.39,61.27,75,2026-05-27 07:20:00
ESP32_NODE_01,25.3,59.5,69,2026-05-27 07:30:00
ESP32_NODE_01,25.4,58.58,67,2026-05-27 07:40:00
ESP32_NODE_01,25.12,57.95,69,2026-05-27 07:50:00
ESP32_NODE_01,25.4,59.72,62,2026-05-27 08:00:00
ESP32_NODE_01,26.32,61.0,66,2026-05-27 08:10:00
ESP32_NODE_01,26.39,59.41,62,2026-05-27 08:20:00
ESP32_NODE_01,26.12,57.66,66,2026-05-27 08:30:00
ESP32_NODE_01,26.21,59.06,64,2026-05-27 08:40:00
ESP32_NODE_01,27.31,60.97,65,2026-05-27 08:50:00
ESP32_NODE_01,26.6,59.88,65,2026-05-27 09:00:00
ESP32_NODE_01,27.33,60.67,64,2026-05-27 09:10:00
ESP32_NODE_01,27.55,61.73,68,2026-05-27 09:20:00
ESP32_NODE_01,27.3,60.0,68,2026-05-27 09:30:00
ESP32_NODE_01,27.74,58.21,63,2026-05-27 09:40:00
ESP32_NODE_01,28.43,58.61,63,2026-05-27 09:50:00
ESP32_NODE_01,28.6,60.18,65,2026-05-27 10:00:00
ESP32_NODE_01,28.51,59.38,61,2026-05-27 10:10:00
ESP32_NODE_01,28.85,60.07,61,2026-05-27 10:20:00
ESP32_NODE_01,29.92,61.52,58,2026-05-27 10:30:00
ESP32_NODE_01,29.28,62.57,62,2026-05-27 10:40:00
ESP32_NODE_01,29.64,60.32,64,2026-05-27 10:50:00
